hour_of_day,day_of_week,month,is_weekend,patient_age,patient_sex,imd_quintile,comorbidity_count,previous_ed_visits_12m,re_attendance_72h,arrival_mode,pre_alert_received,chief_complaint,triage_category,news2_score,nhs_trust,ics_region,trust_type,bed_occupancy_pct,beds_available,staff_ratio,daily_ed_attendance,shift_total_arrivals,shift_ambulance_arrivals,ambulance_handover_delay_min,handover_breach_gt30min,wait_time_to_assessment_min,ed_los_min,boarding_delay_min,queue_length_estimate,capacity_pressure_index,patient_acuity_score,wait_equity_delta_min,deteriorated_in_ed,admitted,occ_x_triage,wait_per_staff,acuity_x_cpi,los_over_threshold,night_high_occ,ambul_handover_stress,is_winter,boarding_per_los
-0.04236251,0.1982744,-0.13587838,-0.037615083,0.0037746637,0.054300386,0.008033912,0.067746714,0.0139347995,0.0046118638,-0.2932549,0.0069082547,-0.12775335,-0.21120201,0.14974155,0.09769725,0.0075800787,-0.38942122,-0.1812149,0.2759915,-0.14083563,-0.0074515906,-0.19540048,0.02207961,-0.9168554,0.07529771,-0.22817074,-0.6020216,0.25733593,-0.64861137,-0.11446877,-0.82460624,-0.018392084,0.0048006843,-0.15806594,-0.13712628,-0.23373601,-0.3833089,-0.7462829,-0.00041177453,-0.008904126,0.0073045,0.0062413197
0.020372024,-0.23381987,0.6857482,0.11907865,-0.033760518,0.10543564,0.015899971,0.084149644,0.036504816,0.0071168737,0.36093155,0.012281037,-0.03428321,-0.39189014,-0.08908873,-0.41866678,-0.05761492,0.15453924,-1.2011061,-0.1952448,-0.21468756,-0.051863857,-0.15803206,-0.0017300504,0.61991775,0.045762092,-0.3351427,0.368741,-0.50895655,-1.2970798,-0.12581664,-0.2973034,0.069829114,0.0042493157,0.04481857,-0.107162684,-0.16532122,-0.39803278,0.38134912,-0.00029301233,-0.037644535,-0.06887965,-0.031495888
-0.03627869,-0.11241041,-0.15162954,0.103251964,0.005555473,0.076730125,0.039853066,-0.16404189,0.010155778,0.01102635,-0.204758,0.0060547995,0.05955217,-0.29757345,0.17504874,0.21436566,0.13067909,-0.543433,-1.0895227,0.31679076,-0.3099071,0.018591138,-0.19669968,-0.022913424,-0.7034365,0.06606872,1.432367,0.50613034,0.01793671,0.7066824,-0.117033914,-0.10719283,-0.03946615,0.0051085423,0.06883747,-0.003880837,0.33924437,-0.14283949,0.59806323,-0.00026759107,-0.0048427484,0.036795173,0.007431568
-0.17758135,0.15419526,-0.32120627,-0.04489154,-0.03257687,-0.17700154,0.060221214,0.039405845,9.072141e-05,0.004833002,-0.21269923,0.0048374822,0.032521363,-0.40990788,0.14947185,0.09945171,0.04672609,-0.44860998,-0.09356932,-0.2965158,-0.28734046,-0.13047203,-0.06257205,-0.006650304,-0.175895,0.08481732,-0.8538732,-0.031932913,0.7861272,-1.6309621,-0.049585667,-0.9095328,-0.09029413,0.004455374,0.048469298,-0.15757157,-0.3760307,-0.5037183,0.08878761,-7.4865326e-05,-0.0065882006,-0.0010229587,-0.027862608
0.045482095,0.25051355,-0.34628385,-0.039567366,-0.0069378726,0.08408723,0.08455564,0.045602225,0.029672962,0.009040937,0.38250235,0.012003721,0.04153143,0.28499243,-0.056914624,-0.29549986,0.10529327,0.18295538,0.33306265,-0.05919731,-0.4575894,0.030793652,0.33013552,-0.28398073,0.40649945,0.06287181,0.28749484,-0.1118106,1.3351803,2.740002,1.3652909,-0.103323616,-0.043376055,0.0029732143,0.03880168,-1.2973666,0.21285768,0.33401513,-0.41981998,-5.6316243e-05,-0.004009864,-0.1001893,0.102538474
-0.154607,-0.20537661,0.69222796,0.124975644,-0.010616374,0.08133231,0.012511519,0.10990923,0.035591073,0.0082976725,0.29434788,0.01404998,0.05221129,0.18091412,-0.4600934,-0.45286998,0.07644158,0.17208064,0.5225564,0.17111745,-0.32989243,-0.025969919,-0.22982576,-0.025820682,-0.5719448,0.04699461,-1.1774032,-0.37241584,-0.109552436,-1.5680207,-0.11551531,0.33507517,0.058134854,0.004329431,-0.35330293,-1.0986718,-0.39938974,0.07667796,-0.65176904,-0.00010761294,-0.04534039,-0.15319227,0.028879046
0.018401232,-0.14179479,-0.26348555,0.10132499,0.013299202,0.10067431,-0.14163217,0.00082599674,-0.1706805,0.0049714237,-0.3492725,0.00849377,-0.17235848,-0.28072646,-0.4039539,-0.48356453,0.089029,0.20175199,-0.1369975,0.24479531,-0.06397674,0.023581084,-0.19695456,-0.005678611,-0.4148492,0.075465,0.07524618,-0.76964027,0.18558154,-0.63374037,-0.38557523,0.2998744,0.045174338,0.0048352014,0.053267673,0.029472196,-0.10696759,-0.2412818,-0.6325157,-0.00044326208,-0.0073889773,0.013679511,0.0376487
-0.20247373,-0.26174378,0.46129447,0.122409075,-0.06466309,-0.13012129,0.07841831,-0.0340981,-0.0012487976,0.008748128,-0.19908597,0.003969782,0.06592839,-0.6509902,0.119162716,-0.36420718,-0.09418756,0.14075062,0.6531099,0.36941847,-0.18176797,0.016113004,-0.078937076,0.04668789,0.419473,0.06738254,0.025349595,0.42118913,0.46822634,0.37918326,-0.016563224,-0.0067552533,-0.0649242,0.0017087231,0.037950154,1.2095958,-0.017557008,-0.16914327,0.4689953,-0.0011386909,-0.03881071,-0.15827921,0.009649891
0.0073727053,0.21639118,0.033115253,-0.021276802,0.038756464,-0.06452794,-0.052992854,0.06456285,-0.12751003,0.0043402608,-0.5487953,0.0042716507,0.016188115,0.27308613,-0.31112128,0.058348786,0.10062927,-0.40245736,0.53223735,-0.0053090667,-0.013376679,0.03737812,-0.18633515,-0.013723247,2.1229472,0.03962216,-0.17509444,-0.6986464,-0.34504282,-1.5661857,-0.12140893,0.068287335,0.05236249,0.0032050365,-0.107394755,-1.108593,-0.18602173,0.01485841,-0.7092089,-6.900203e-05,-0.06556832,0.41324127,0.048545413
0.06033138,0.16042933,-0.15679729,-0.04596311,0.049685035,-0.14854485,0.055070534,0.066185206,-0.0309776,0.008798436,-0.24497782,0.004319236,0.031453636,-0.7932223,0.15647627,0.21742484,0.1575438,-0.5638309,0.10623977,-0.23101339,-0.43434802,0.045903318,-0.023117997,-0.055979244,-0.81325936,0.07988891,-0.0005268267,0.5626234,0.45260003,-1.4544754,0.068244204,-0.58642143,-0.07091918,0.005114154,0.02657452,0.96130437,0.22465481,-0.23760647,0.7414199,-0.00026587106,-0.00456901,-0.0052122157,0.03363931
